"dispenser_id","10-22 17","10-19 18","10-20 11","10-23 22","10-22 2","10-24 6","10-23 0","10-26 19","10-24 17","10-21 23","10-23 3","10-20 4","10-23 10","10-21 5","10-21 15","10-19 14","10-21 9","10-23 15","10-22 6","10-27 1","10-22 13","10-25 14","10-23 7","10-20 1","10-25 7","10-20 8","10-19 2","10-26 22","10-26 11","10-26 0","10-24 5","10-20 22","10-26 12","10-25 21","10-23 16","10-25 10","10-26 23","10-21 20","10-23 21","10-26 9","10-24 11","10-22 0","10-20 15","10-19 7","10-24 22","10-24 7","10-22 10","10-25 8","10-19 20","10-21 11","10-25 18","10-24 18","10-22 16","10-23 2","10-25 6","10-26 1","10-20 3","10-26 18","10-21 4","10-19 13","10-26 8","10-19 1","10-20 10","10-22 1","10-24 9","10-25 0","10-20 21","10-24 2","10-21 22","10-23 6","10-22 12","10-24 14","10-21 18","10-20 7","10-26 4","10-20 17","10-21 8","10-20 2","10-19 17","10-22 5","10-24 21","10-21 19","10-24 10","10-21 14","10-19 6","10-25 3","10-25 22","10-20 20","10-26 13","10-25 11","10-21 21","10-25 16","10-20 18","10-19 9","10-22 11","10-22 9","10-21 10","10-23 20","10-26 7","10-20 14","10-22 22","10-25 9","10-19 11","10-21 3","10-22 19","10-19 16","10-21 17","10-20 13","10-22 4","10-25 17","10-24 8","10-21 0","10-24 19","10-20 6","10-19 21","10-23 13","10-26 2","10-19 5","10-26 17","10-24 15","10-24 0","10-25 12","10-19 10","10-20 19","10-25 1","10-26 6","10-24 3","10-21 7","10-23 8","10-23 17","10-25 4","10-25 23","10-23 12","10-23 5","10-17 16","10-26 20","10-22 23","10-24 13","10-19 22","10-26 14","10-19 12","10-25 15","10-22 8","10-19 23","10-22 15","10-27 0","10-21 1","10-25 19","10-23 19","10-24 1","10-19 3","10-23 23","10-22 3","10-23 1","10-24 16","10-22 14","10-22 21","10-26 3","10-21 16","10-20 9","10-19 8","10-26 10","10-25 20","10-26 16","10-25 13","10-21 13","10-23 14","10-22 18","10-25 2","10-19 19","10-20 5","10-19 4","10-26 5","10-21 6","10-20 12","10-22 20","10-26 21","10-24 23","10-23 9","10-23 18","10-25 5","10-21 2","10-19 15","10-26 15","10-20 0","10-20 16","10-20 23","10-22 7","10-24 4","10-24 12","10-21 12","10-23 11","10-23 4","10-24 20"
"25106","1.0","","","","","","","","","","","","0.0","","","","","","","0.0","0.0","","","","","","","0.0","","8.0","","","2.0","8.0","","0.0","","","0.0","8.0","6.0","","","","6.0","","0.0","6.0","","","0.0","","","","4.0","","","","","","","","","","0.0","5.0","","","","","0.0","2.0","0.0","","1.0","","","","","","5.0","2.0","5.0","0.0","","","8.0","","1.0","3.0","","0.0","","","0.0","","","","4.0","","","2.0","","","","","","","","4.0","","","","","","","10.0","","0.0","0.0","","","","","4.0","","","","","","1.0","5.0","0.0","","","","","0.0","","","","1.0","","","2.0","","","1.0","0.0","","","","","","1.0","","0.0","9.0","","","","3.0","0.0","0.0","0.0","2.0","3.0","","0.0","","","","","","","","","20.0","","","5.0","","","","","","","","","","","","","4.0"
"25153","0.0","","1.0","6.0","","1.0","","","9.0","1.0","","3.0","5.0","","30.0","","6.0","0.0","","","17.0","0.0","0.0","3.0","","1.0","","1.0","","","","0.0","","","2.0","","","","","","","4.0","2.0","3.0","0.0","1.0","2.0","","","0.0","","3.0","","","","0.0","0.0","0.0","","1.0","","","4.0","2.0","5.0","1.0","1.0","","5.0","0.0","","10.0","4.0","0.0","0.0","4.0","","","","4.0","","7.0","2.0","","4.0","","","4.0","","","1.0","","1.0","0.0","0.0","0.0","3.0","","0.0","2.0","0.0","18.0","","","1.0","","1.0","3.0","0.0","","","","","","","5.0","","0.0","","","","3.0","3.0","3.0","0.0","","","","","","1.0","0.0","0.0","","","0.0","1.0","4.0","0.0","","14.0","3.0","0.0","0.0","7.0","","2.0","","6.0","","","0.0","","","3.0","17.0","","","3.0","3.0","0.0","","","","2.0","","","0.0","","","","","","6.0","","","","","1.0","0.0","0.0","","","","0.0","0.0","1.0","","","1.0","0.0","1.0","","7.0"
"25171","11.0","","","","","","","2.0","","","","","6.0","","10.0","","","5.0","","","3.0","","","","","","","","0.0","0.0","","","0.0","1.0","3.0","2.0","0.0","2.0","1.0","5.0","3.0","","","","0.0","","4.0","1.0","","","2.0","","5.0","","","","","1.0","","","0.0","","","","0.0","1.0","","0.0","","","3.0","","0.0","","","","","","","","","","","4.0","","","","","4.0","1.0","0.0","","","","7.0","0.0","","0.0","","","0.0","2.0","","","8.0","","","","","0.0","3.0","","","","","7.0","","","1.0","1.0","","1.0","","","","","","","","1.0","0.0","","3.0","","","1.0","","0.0","","0.0","","0.0","","","6.0","","","0.0","0.0","","","","","","0.0","0.0","","0.0","4.0","","","1.0","","","2.0","6.0","6.0","11.0","","","","","","","","2.0","0.0","","1.0","","","","","3.0","","","","","","","1.0","","","1.0"
"25316","","","","0.0","","3.0","","5.0","1.0","","","","","","","","","0.0","","1.0","","8.0","","","2.0","","","5.0","","0.0","1.0","","0.0","5.0","0.0","12.0","0.0","","6.0","0.0","6.0","","","","3.0","","","","","","5.0","5.0","","","","","","11.0","","","2.0","","","","0.0","5.0","","","","","","4.0","","","","","","","","","6.0","","0.0","","","3.0","2.0","","2.0","0.0","","3.0","","","","","","","","","","","","","","","","","","1.0","","","5.0","","","","6.0","","3.0","0.0","2.0","5.0","","","","1.0","","","","9.0","","0.0","56.0","","","5.0","","1.0","","2.0","","0.0","","","","","","0.0","2.0","2.0","","1.0","","","3.0","","","1.0","","","","6.0","2.0","1.0","3.0","","1.0","","","","","","","","","","","","","","","","","3.0","","","","","","3.0","","","","0.0"
"25343","0.0","","","","0.0","","","0.0","","","","","","","","","0.0","","3.0","0.0","0.0","","","","","","","2.0","1.0","","","","0.0","","","0.0","0.0","","","1.0","","","0.0","","","","","","","0.0","","","","","","","","0.0","","","","","","","","","2.0","","0.0","","0.0","","","","","0.0","","","","1.0","","","","","","0.0","","","","","0.0","0.0","0.0","","","2.0","","","","","","","","","","","","","1.0","","","","","","","0.0","","","0.0","","","0.0","","0.0","1.0","0.0","","","","","","","","","","0.0","","","","0.0","","","0.0","","0.0","","","8.0","","","","","0.0","","","4.0","1.0","0.0","","","","0.0","","0.0","","","1.0","1.0","","","","","1.0","","","","1.0","","","","","","","0.0","","","","0.0","","","","0.0","",""
"25347","","","","","","","","","","","","","0.0","","0.0","","","","","","","","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","18.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","","","","","","","","","","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25470","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25476","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25481","","","","","","","10.0","","1.0","","","","","","","","","3.0","","","0.0","","","","","","","","","","","","","","","1.0","0.0","","","","0.0","","","","","","","","","","0.0","","3.0","","","","","0.0","","","","","","","2.0","","","","","","4.0","","","","","","","","","","","","","","","","","","","0.0","","0.0","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","1.0","","0.0","","","0.0","","2.0","","","","","","","","","","","","1.0","1.0","","2.0","","0.0","","","4.0","","","","","","","","5.0","9.0","0.0"
"25495","0.0","","","","","","","","","","","","","","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","0.0","","","","","","","","","","","0.0","","","","","","0.0","","","","","","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","",""
"25503","","","","","","","","","","1.0","","","","","","","","","","","0.0","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","","","","0.0","","","0.0","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
